condition,radius,cycles,scorefxn_name,neighbour_only_score,outer_constrained,remove_ligands,single_chain,prevent_acceptance_of_incrementor
default,12,1,ref2015,True,False,True,True,False
outer_con,12,1,ref2015,True,True,True,True,False
full_score,12,1,ref2015,False,False,True,True,False
incrementor,12,1,ref2015,True,False,True,True,True
radius9x1,9,1,ref2015,True,False,True,True,False
radius15x1,15,1,ref2015,True,False,True,True,False
radius9x3,9,3,ref2015,True,False,True,True,False
radius12x3,12,3,ref2015,True,False,True,True,False
radius15x3,15,3,ref2015,True,False,True,True,False
radius20x3,15,3,ref2015,True,False,True,True,False
cartesian,12,1,ref2015_cart,True,False,True,True,False
cartesian_12x3,12,3,ref2015_cart,True,False,True,True,False
radius12x1,12,1,ref2015,True,False,True,True,False
radius12x2,12,2,ref2015,True,False,True,True,False
cart_extra,12,3,ref2015_cart,True,True,True,True,True
con_12x3,12,3,ref2015,True,True,True,True,True
full_con_12x3,12,3,ref2015,False,True,True,True,True
full_12x3,12,3,ref2015,False,False,True,True,False
full_10x1,10,1,ref2015,False,False,True,True,False
full_11x1,11,1,ref2015,False,False,True,True,False
full_12x2,12,2,ref2015,False,False,True,True,False
full_12x4,12,4,ref2015,False,False,True,True,False
full_20x5,20,5,ref2015,False,False,True,True,False
incr_12x2,12,2,ref2015,False,False,True,True,True
incr_12x3,12,3,ref2015,False,False,True,True,True
beta_12x2,12,2,beta_nov16,False,False,True,True,True
beta_9x3,9,3,beta_nov16,False,False,True,True,True
talaris2014_9x1,9,1,talaris2014,False,False,True,True,True
talaris2014_9x3,9,3,talaris2014,False,False,True,True,True
talaris2014_12x1,12,1,talaris2014,False,False,True,True,True
talaris2014_12x3,12,3,talaris2014,False,False,True,True,True
