,radius,cycles,scorefxn_name,neighbour_only_score,outer_constrained,remove_ligands,single_chain,prevent_acceptance_of_incrementor,MdAE,MdSE,time,MdAE_MAD,time_MAD,MAE,allocation,cutoff10_MAE,cutoff5_MAE,samples,MdAE_se,time_se,condition
talaris2014_9x3,9,3,talaris2014,False,False,True,True,True,0.7954308558425172,-0.15118784088693493,24.44180738925934,0.5184958379152815,6.793323278427124,1.2660023585141502,77.14412024756852,2.350637906667026,1.9081088440111338,2262,0.010901819175399076,0.14283544160974063,talaris2014_9x3
cart_extra,12,3,ref2015_cart,True,True,True,True,True,0.8299095504948043,-0.15138909654514393,139.97695875167847,0.5437539309206616,66.30247795581818,1.274131264206208,76.96728558797524,2.479068854050669,2.035540500954802,2262,0.011432892218853396,1.3940663987997457,cart_extra
talaris2014_12x3,12,3,talaris2014,False,False,True,True,True,0.8237072867561575,-0.2951714429110423,34.59082114696503,0.5227508211782627,11.98971676826477,1.303361551544777,76.74624226348364,2.254837955106282,1.905598361642919,2262,0.010991283843647675,0.25209406636207127,talaris2014_12x3
beta_9x3,9,3,beta_nov16,False,False,True,True,True,0.7999391120938923,-0.09174793293699368,29.45540142059326,0.5289924653229526,8.884098529815674,1.2771909258607166,76.72566371681417,3.0114958106679772,2.285165564415362,2260,0.011127440139440814,0.1868784171114142,beta_9x3
talaris2014_9x1,9,1,talaris2014,False,False,True,True,True,0.825846334755717,-0.20894498384837834,15.303712129592896,0.538220292651101,2.984978199005127,1.326964104811105,76.51481645289695,2.421642106352656,1.9510738008416115,2261,0.011319045009622957,0.0627756014565297,talaris2014_9x1
9x3,9,3,ref2015,True,False,True,True,False,0.8138883800699409,-0.09330354636104615,29.942243576049805,0.5384534262716332,9.134160161018372,1.303355215510003,75.9946949602122,2.615752599023712,2.0868117771893178,2262,0.011321444567789489,0.19205354240630737,9x3
full_12x3,12,3,ref2015,False,False,True,True,False,0.8604737746012234,-0.1345258110851294,38.72481167316437,0.5600351325338537,13.357950568199158,1.3176527704701158,75.95048629531388,2.477509092117397,2.017238872189971,2262,0.011775218430494535,0.2808623541395154,full_12x3
beta_12x2,12,2,beta_nov16,False,False,True,True,True,0.8247499080532842,-0.18022116580311526,34.26795983314514,0.5279711472058081,11.357853531837463,1.2895915422931448,75.90627763041556,2.823541997894941,2.2161067433366464,2262,0.011101045670507756,0.23880860051376396,beta_12x2
incr_12x3,12,3,ref2015,False,False,True,True,True,0.8506379683638096,-0.16471170212097977,43.933032274246216,0.5683034563720413,15.85746955871582,1.3476587333550325,75.86206896551724,2.448125924844702,2.0094617712196987,2262,0.011949067022471642,0.33341688219445614,incr_12x3
full_12x4,12,4,ref2015,False,False,True,True,False,0.8577425499553615,-0.17086487569067027,54.89669954776764,0.5501877015236369,20.070807218551636,1.3405608370188864,75.81786030061892,2.465747822499102,2.016473331354992,2262,0.011568167757441412,0.4220059159601125,full_12x4
full_con_12x3,12,3,ref2015,False,True,True,True,True,0.8094425403778539,-0.10671796217608931,47.39024257659912,0.5566531365378118,18.96540129184723,1.3347434506713716,75.81786030061892,2.625373135286866,2.0756244611264547,2262,0.01170410906740106,0.3987638093758068,full_con_12x3
con_12x1,12,1,ref2015,True,True,True,True,False,0.8403322685614477,-0.18118345041971584,27.04820728302002,0.5728639793334402,8.106566786766052,1.37381453605142,75.68523430592397,2.740884779023934,2.125399948368406,2262,0.012044955924628172,0.17044751139749645,con_12x1
talaris2014_12x1,12,1,talaris2014,False,False,True,True,True,0.8715082465650499,-0.44170770287379785,19.25845229625702,0.5791358914925521,4.900908589363098,1.3640256116578369,75.552608311229,2.435277947551387,2.0410760074927365,2262,0.012176828250773625,0.10304580158486545,talaris2014_12x1
con_12x3,12,3,ref2015,True,True,True,True,True,0.8187855542647586,-0.09349293933676361,47.532362937927246,0.5643588582226873,19.07352352142334,1.3375135321820175,75.552608311229,2.6586337910622664,2.0800809752411786,2262,0.011866128467136704,0.4010371718784241,con_12x3
12x3,12,3,ref2015,True,False,True,True,False,0.8695666941949451,-0.18522920810136145,43.57836210727692,0.560960434772503,15.514903903007507,1.3340498175919104,75.50839964633069,2.5632779849836176,2.087362760825833,2262,0.011794673702746873,0.32621414581522173,12x3
incr_12x2,12,2,ref2015,False,False,True,True,True,0.8689194933685866,-0.2252674483600697,32.77572703361511,0.5787264421272211,10.492968797683716,1.3520850174530052,75.45333923042902,2.461807558088272,2.0197637952458156,2261,0.012170909822873194,0.2206724416140579,incr_12x2
9x1,9,1,ref2015,True,False,True,True,False,0.8641890581147831,-0.16811735328315114,18.40888524055481,0.5559514906033652,3.8396741151809692,1.3394289641570414,75.41998231653405,2.6959031368267814,2.1359911669468645,2262,0.011689356360545695,0.08073243763048855,9x1
12x2,12,2,ref2015,True,False,True,True,False,0.8634153499703556,-0.21515627097955695,30.259438037872314,0.5770303877717893,9.459968090057373,1.3338248280445237,75.37577365163573,2.5917077891044604,2.1138784260601313,2262,0.012132558231308906,0.19890393322636793,12x2
